Date;Energie journalière (MWh)
02/11/2022;1085094
03/11/2022;1137016
04/11/2022;1167503
05/11/2022;1098239
06/11/2022;1072359
07/11/2022;1184465
08/11/2022;1197687
09/11/2022;1196568
10/11/2022;1212250
11/11/2022;1093056
12/11/2022;1075815
13/11/2022;1055638
14/11/2022;1227031
15/11/2022;1247604
16/11/2022;1252169
17/11/2022;1246710
18/11/2022;1269537
19/11/2022;1204786
20/11/2022;1186302
21/11/2022;1374093
22/11/2022;1407183
23/11/2022;1396628
24/11/2022;1375445
25/11/2022;1347963
26/11/2022;1277073
27/11/2022;1241799
28/11/2022;1370812
29/11/2022;1443353
30/11/2022;1476614
01/12/2022;1518646
02/12/2022;1545535
03/12/2022;1452757
04/12/2022;1422095
05/12/2022;1593841
06/12/2022;1621821
07/12/2022;1625825
08/12/2022;1660810
09/12/2022;1650749
10/12/2022;1580611
11/12/2022;1619723
12/12/2022;1820878
13/12/2022;1816474
14/12/2022;1716183
15/12/2022;1713884
16/12/2022;1716481
17/12/2022;1690530
18/12/2022;1623769
19/12/2022;1531076
20/12/2022;1426057
21/12/2022;1365907
22/12/2022;1326166
23/12/2022;1228571
24/12/2022;1124328
25/12/2022;1062990
26/12/2022;1180057
27/12/2022;1286380
28/12/2022;1292956
29/12/2022;1256168
30/12/2022;1255385
31/12/2022;1109418
01/01/2023;1046620
02/01/2023;1202098
03/01/2023;1351531
04/01/2023;1380517
05/01/2023;1333960
06/01/2023;1331386
07/01/2023;1228953
08/01/2023;1206905
09/01/2023;1432132
10/01/2023;1478526
11/01/2023;1425024
12/01/2023;1433296
13/01/2023;1405729
14/01/2023;1299448
15/01/2023;1294862
16/01/2023;1538498
17/01/2023;1619860
18/01/2023;1687686
19/01/2023;1713391
20/01/2023;1728806
21/01/2023;1624911
22/01/2023;1664349
23/01/2023;1812450
24/01/2023;1791835
25/01/2023;1802532
26/01/2023;1780305
27/01/2023;1732317
28/01/2023;1618025
29/01/2023;1575816
30/01/2023;1693440
31/01/2023;1616833
01/02/2023;1579012
02/02/2023;1568464
03/02/2023;1535014
04/02/2023;1380240
05/02/2023;1334157
06/02/2023;1549255
07/02/2023;1611998
08/02/2023;1673545
09/02/2023;1708141
10/02/2023;1641669
11/02/2023;1490371
12/02/2023;1401519
13/02/2023;1543717
14/02/2023;1529249
15/02/2023;1496129
16/02/2023;1448816
17/02/2023;1377210
18/02/2023;1240223
19/02/2023;1187419
20/02/2023;1370742
21/02/2023;1392043
22/02/2023;1394664
23/02/2023;1425944
24/02/2023;1404254
25/02/2023;1351309
26/02/2023;1415165
27/02/2023;1654072
28/02/2023;1694064
01/03/2023;1670732
02/03/2023;1634352
03/03/2023;1582204
04/03/2023;1453484
05/03/2023;1386606
06/03/2023;1542145
07/03/2023;1520855
08/03/2023;1445370
09/03/2023;1350883
10/03/2023;1382118
11/03/2023;1274811
12/03/2023;1149315
13/03/2023;1227621
14/03/2023;1307582
15/03/2023;1342073
16/03/2023;1300512
17/03/2023;1246632
18/03/2023;1123056
19/03/2023;1097677
20/03/2023;1256011
21/03/2023;1246681
22/03/2023;1246483
23/03/2023;1195582
24/03/2023;1195200
25/03/2023;1119344
26/03/2023;1106048
27/03/2023;1283510
28/03/2023;1322749
29/03/2023;1227584
30/03/2023;1175633
31/03/2023;1200840
01/04/2023;1138984
02/04/2023;1141246
03/04/2023;1304630
04/04/2023;1343412
05/04/2023;1341598
06/04/2023;1284519
07/04/2023;1249393
08/04/2023;1132061
09/04/2023;1037156
10/04/2023;1043008
11/04/2023;1195880
12/04/2023;1246812
13/04/2023;1276653
14/04/2023;1293360
15/04/2023;1170497
16/04/2023;1107625
17/04/2023;1224437
18/04/2023;1214042
19/04/2023;1177172
20/04/2023;1179411
21/04/2023;1186619
22/04/2023;1068965
23/04/2023;1032389
24/04/2023;1172567
25/04/2023;1206188
26/04/2023;1199470
27/04/2023;1146367
28/04/2023;1096159
29/04/2023;990808
30/04/2023;942844
01/05/2023;934185
02/05/2023;1086301
03/05/2023;1092583
04/05/2023;1074921
05/05/2023;1060339
06/05/2023;951173
07/05/2023;902175
08/05/2023;926202
09/05/2023;1065170
10/05/2023;1098347
11/05/2023;1104009
12/05/2023;1104187
13/05/2023;991686
14/05/2023;946790
15/05/2023;1080530
16/05/2023;1112933
17/05/2023;1105164
18/05/2023;981725
19/05/2023;1001885
20/05/2023;945833
21/05/2023;907717
22/05/2023;1033412
23/05/2023;1052544
24/05/2023;1086597
25/05/2023;1057512
26/05/2023;1041507
27/05/2023;929942
